"","Year","max_discharge_date","Discharge","max_discharge_cfs","max_snowpack_date","SWE","max_swe_in","lag"
"1",1987,1987-06-07,5220,5220,1987-04-17,24.3,24.3,51
"2",1988,1988-06-08,3180,3180,1988-04-08,16.1,16.1,61
"3",1989,1989-05-24,2550,2550,1989-04-06,26.2,26.2,48
"4",1990,1990-06-11,4060,4060,1990-05-03,16.1,16.1,39
"5",1991,1991-05-21,3220,3220,1991-04-02,24.3,24.3,49
"6",1992,1992-05-27,3500,3500,1992-04-04,13.9,13.9,53
"7",1993,1993-05-28,6480,6480,1993-04-13,32.4,32.4,45
"8",1994,1994-06-04,4160,4160,1994-05-04,22,22,31
"9",1995,1995-06-16,6900,6900,1995-05-14,37,37,33
"10",1996,1996-05-17,3680,3680,1996-04-25,22.4,22.4,22
"11",1997,1997-06-02,6730,6730,1997-04-16,29.7,29.7,47
"12",1998,1998-06-03,3650,3650,1998-04-27,22.3,22.3,37
"13",1999,1999-06-18,4210,4210,1999-05-08,25.8,25.8,41
"14",2000,2000-05-24,3460,3460,2000-04-06,19.5,19.5,48
"15",2001,2001-05-16,4770,4770,2001-04-24,22.2,22.2,22
"16",2002,2002-09-12,947,947,2002-03-29,10.9,10.9,167
"17",2003,2003-05-29,4160,4160,2003-04-09,15.9,15.9,50
"18",2004,2004-06-08,3590,3590,2004-04-27,21,21,42
"19",2005,2005-05-25,8070,8070,2005-04-14,28.1,28.1,41
"20",2006,2006-10-07,7000,7000,2006-04-08,19.9,19.9,182
"21",2007,2007-05-16,3470,3470,2007-04-16,14.3,14.3,30
"22",2008,2008-05-21,5850,5850,2008-04-20,30.3,30.3,31
"23",2009,2009-05-13,5010,5010,2009-04-21,27.2,27.2,22
"24",2010,2010-05-29,4510,4510,2010-04-08,18.5,18.5,51
"25",2011,2011-06-07,5120,5120,2011-04-18,22,22,50
"26",2012,2012-05-06,2120,2120,2012-03-25,14,14,42
"27",2013,2013-05-18,2580,2580,2013-04-21,13.8,13.8,27
"28",2014,2014-06-02,4550,4550,2014-04-09,23.3,23.3,54
"29",2015,2015-06-11,6210,6210,2015-03-25,13.6,13.6,78
"30",2016,2016-06-06,5110,5110,2016-02-23,15,15,104
"31",2017,2017-06-05,4290,4290,2017-03-13,25.5,25.5,84
"32",2018,2018-05-11,1680,1680,2018-03-31,11.1,11.1,41
"33",2019,2019-06-09,6850,6850,2019-04-07,28.1,28.1,63
"34",2020,2020-06-07,3670,3670,2020-04-06,17.5,17.5,62
"35",2021,2021-06-06,2910,2910,2021-04-01,14.9,14.9,66
